PERMNO,HdrCUSIP,Ticker,PERMCO,MthCalDt,MthPrc,MthCap
38703,94974610,WFC,21305,2021-02-26,36.170000,149530650.19
38703,94974610,WFC,21305,2021-03-31,39.070000,161521006.08
38703,94974610,WFC,21305,2021-04-30,45.050000,186556555.00
38703,94974610,WFC,21305,2021-05-28,46.720000,193120483.84
38703,94974610,WFC,21305,2021-06-30,45.290000,187209475.88
38703,94974610,WFC,21305,2021-07-30,45.940000,188648521.34
38703,94974610,WFC,21305,2021-08-31,45.700000,187662982.70
38703,94974610,WFC,21305,2021-09-30,46.410000,190578534.51
38703,94974610,WFC,21305,2021-10-29,51.160000,204481404.00
38703,94974610,WFC,21305,2021-11-30,47.780000,190509992.74
38703,94974610,WFC,21305,2021-12-31,47.980000,191307439.34
38703,94974610,WFC,21305,2022-01-31,53.800000,209056040.00
38703,94974610,WFC,21305,2022-02-28,53.370000,207385146.00
38703,94974610,WFC,21305,2022-03-31,48.460000,184853432.22
38703,94974610,WFC,21305,2022-04-29,43.630000,165353337.00
38703,94974610,WFC,21305,2022-05-31,45.770000,173484411.04
38703,94974610,WFC,21305,2022-06-30,39.170000,148468087.84
38703,94974610,WFC,21305,2022-07-29,43.870000,166398910.00
38703,94974610,WFC,21305,2022-08-31,43.710000,165794215.50
38703,94974610,WFC,21305,2022-09-30,40.220000,152556471.00
38703,94974610,WFC,21305,2022-10-31,45.990000,174442369.50
38703,94974610,WFC,21305,2022-11-30,47.950000,182713043.45
38703,94974610,WFC,21305,2022-12-30,41.290000,157335173.39
38703,94974610,WFC,21305,2023-01-31,46.870000,178597713.17
38703,94974610,WFC,21305,2023-02-28,46.770000,177439206.36
38703,94974610,WFC,21305,2023-03-31,37.380000,141814785.84
38703,94974610,WFC,21305,2023-04-28,39.750000,150806253.00
38703,94974610,WFC,21305,2023-05-31,39.810000,149376037.44
38703,94974610,WFC,21305,2023-06-30,42.680000,160144920.32
38703,94974610,WFC,21305,2023-07-31,46.160000,173202659.84
38703,94974610,WFC,21305,2023-08-31,41.290000,151071150.07
38703,94974610,WFC,21305,2023-09-29,40.860000,149497873.38
38703,94974610,WFC,21305,2023-10-31,39.770000,145509799.91
38703,94974610,WFC,21305,2023-11-30,44.590000,161934827.60
38762,65473P10,NI,21244,2013-12-31,32.880000,10301139.60
38762,65473P10,NI,21244,2014-01-31,34.370000,10767949.15
38762,65473P10,NI,21244,2014-02-28,34.820000,10933166.62
38762,65473P10,NI,21244,2014-03-31,35.530000,11156100.23
38762,65473P10,NI,21244,2014-04-30,36.320000,11436332.64
38762,65473P10,NI,21244,2014-05-30,37.370000,11766953.49
38762,65473P10,NI,21244,2014-06-30,39.340000,12387261.18
38762,65473P10,NI,21244,2014-07-31,37.680000,11881182.24
38762,65473P10,NI,21244,2014-08-29,39.670000,12508665.06
38762,65473P10,NI,21244,2014-09-30,40.980000,12921731.64
38762,65473P10,NI,21244,2014-10-31,42.060000,13278342.00
38762,65473P10,NI,21244,2014-11-28,41.840000,13208888.00
38762,65473P10,NI,21244,2014-12-31,42.420000,13391994.00
38762,65473P10,NI,21244,2015-01-30,43.260000,13657182.00
38762,65473P10,NI,21244,2015-02-27,42.910000,13568656.92
38762,65473P10,NI,21244,2015-03-31,44.160000,13963921.92
38762,65473P10,NI,21244,2015-04-30,43.420000,13775342.36
38762,65473P10,NI,21244,2015-05-29,47.180000,14973894.04
38762,65473P10,NI,21244,2015-06-30,45.590000,14469263.02
38762,65473P10,NI,21244,2015-07-31,17.460000,5541419.88
38762,65473P10,NI,21244,2015-07-31,17.460000,5541419.88
38762,65473P10,NI,21244,2015-08-31,16.790000,5336852.61
38762,65473P10,NI,21244,2015-09-30,18.550000,5896284.45
38762,65473P10,NI,21244,2015-10-30,19.160000,6090178.44
38762,65473P10,NI,21244,2015-11-30,19.190000,6115296.49
38762,65473P10,NI,21244,2015-12-31,19.510000,6217271.21
38762,65473P10,NI,21244,2016-01-29,21.010000,6695277.71
38762,65473P10,NI,21244,2016-02-29,21.480000,6868058.16
38762,65473P10,NI,21244,2016-03-31,23.560000,7533121.52
38762,65473P10,NI,21244,2016-04-29,22.710000,7283596.62
38762,65473P10,NI,21244,2016-05-31,23.860000,7672039.84
38762,65473P10,NI,21244,2016-06-30,26.520000,8527346.88
38762,65473P10,NI,21244,2016-07-29,25.660000,8250819.04
38762,65473P10,NI,21244,2016-08-31,23.940000,7713108.90
38762,65473P10,NI,21244,2016-09-30,24.110000,7767880.35
38762,65473P10,NI,21244,2016-10-31,23.260000,7494023.10
38762,65473P10,NI,21244,2016-11-30,21.940000,7080871.72
38762,65473P10,NI,21244,2016-12-30,22.140000,7145419.32
38762,65473P10,NI,21244,2017-01-31,22.370000,7219649.06
38762,65473P10,NI,21244,2017-02-28,23.910000,7733593.86
38762,65473P10,NI,21244,2017-03-31,23.790000,7694780.34
38762,65473P10,NI,21244,2017-04-28,24.250000,7849822.00
38762,65473P10,NI,21244,2017-05-31,26.070000,8432237.22
38762,65473P10,NI,21244,2017-06-30,25.360000,8202590.56
38762,65473P10,NI,21244,2017-07-31,26.060000,8492172.20
38762,65473P10,NI,21244,2017-08-31,26.870000,8756126.90
38762,65473P10,NI,21244,2017-09-29,25.590000,8339013.30
38762,65473P10,NI,21244,2017-10-31,26.370000,8593191.90
38762,65473P10,NI,21244,2017-11-30,27.530000,9271938.82
38762,65473P10,NI,21244,2017-12-29,25.670000,8645501.98
38762,65473P10,NI,21244,2018-01-31,24.680000,8312075.92
38762,65473P10,NI,21244,2018-02-28,23.130000,7804316.43
38762,65473P10,NI,21244,2018-03-29,23.910000,8067497.01
38762,65473P10,NI,21244,2018-04-30,24.390000,8233259.13
38762,65473P10,NI,21244,2018-05-31,25.300000,9177802.70
38762,65473P10,NI,21244,2018-06-29,26.280000,9533306.52
38762,65473P10,NI,21244,2018-07-31,26.180000,9497030.62
38762,65473P10,NI,21244,2018-08-31,27.070000,9827411.59
38762,65473P10,NI,21244,2018-09-28,24.920000,9046882.04
38762,65473P10,NI,21244,2018-10-31,25.360000,9206618.32
38762,65473P10,NI,21244,2018-11-30,26.420000,9827262.46
38762,65473P10,NI,21244,2018-12-31,25.350000,9429262.05
38762,65473P10,NI,21244,2019-01-31,27.280000,10147150.64
38762,65473P10,NI,21244,2019-02-28,26.980000,10049888.12
38762,65473P10,NI,21244,2019-03-29,28.660000,10675678.04
38762,65473P10,NI,21244,2019-04-30,27.780000,10361078.82
38762,65473P10,NI,21244,2019-05-31,27.850000,10390918.55
38762,65473P10,NI,21244,2019-06-28,28.800000,10745366.40
38762,65473P10,NI,21244,2019-07-31,29.690000,11084672.43
38762,65473P10,NI,21244,2019-08-30,29.550000,11032403.85
38762,65473P10,NI,21244,2019-09-30,29.920000,11170542.24
38762,65473P10,NI,21244,2019-10-31,28.040000,10474145.72
38762,65473P10,NI,21244,2019-11-29,26.450000,9880238.80
38762,65473P10,NI,21244,2019-12-31,27.840000,10399464.96
38762,65473P10,NI,21244,2020-01-31,29.310000,10948574.64
38762,65473P10,NI,21244,2020-02-28,27.020000,10328746.26
38762,65473P10,NI,21244,2020-03-31,24.970000,9545107.11
38762,65473P10,NI,21244,2020-04-30,25.110000,9609170.13
38762,65473P10,NI,21244,2020-05-29,23.830000,9122100.17
38762,65473P10,NI,21244,2020-06-30,22.740000,8704849.26
38762,65473P10,NI,21244,2020-07-31,24.450000,9359435.55
38762,65473P10,NI,21244,2020-08-31,22.160000,8487789.68
38762,65473P10,NI,21244,2020-09-30,22.000000,8426506.00
38762,65473P10,NI,21244,2020-10-30,22.970000,8798038.31
38762,65473P10,NI,21244,2020-11-30,24.200000,9273730.40
38762,65473P10,NI,21244,2020-12-31,22.940000,8790883.28
